texture,rank,beta,alpha,max_iter,phase_iter,phase_method,sdr,sir,sar,mci,bark_entropy,reconstruction_error
polyphonic_choir,16,0,0.0,300,50,griffin_lim,8.674823,8.674823,8.674935,-1.8401203,0.07081853,1.0362703
polyphonic_choir,16,0,0.0,300,50,fast_griffin_lim,8.674823,8.674823,8.674935,-1.8401203,0.07081853,1.0362703
polyphonic_choir,16,0,0.1,100,50,griffin_lim,4.6183305,4.6183305,4.6184883,-3.1359382,0.07081853,2.854311
polyphonic_choir,16,0,0.1,100,50,fast_griffin_lim,4.6183305,4.6183305,4.6184883,-3.1359382,0.07081853,2.854311
polyphonic_choir,16,0,0.1,300,50,griffin_lim,4.6183305,4.6183305,4.6184883,-3.1359382,0.07081853,2.854311
polyphonic_choir,16,0,0.1,300,50,fast_griffin_lim,4.6183305,4.6183305,4.6184883,-3.1359382,0.07081853,2.854311
polyphonic_choir,16,1,0.0,100,50,griffin_lim,8.464481,8.464481,8.4646,-1.9446089,0.07081853,1.0861961
polyphonic_choir,16,1,0.0,100,50,fast_griffin_lim,8.464481,8.464481,8.4646,-1.9446089,0.07081853,1.0861961
polyphonic_choir,16,1,0.0,300,50,griffin_lim,8.674823,8.674823,8.674935,-1.8401203,0.07081853,1.0362703
polyphonic_choir,16,1,0.0,300,50,fast_griffin_lim,8.674823,8.674823,8.674935,-1.8401203,0.07081853,1.0362703
polyphonic_choir,16,1,0.1,100,50,griffin_lim,4.6183305,4.6183305,4.6184883,-3.1359382,0.07081853,2.854311
polyphonic_choir,16,1,0.1,100,50,fast_griffin_lim,4.6183305,4.6183305,4.6184883,-3.1359382,0.07081853,2.854311
polyphonic_choir,16,1,0.1,300,50,griffin_lim,4.6183305,4.6183305,4.6184883,-3.1359382,0.07081853,2.854311
polyphonic_choir,16,1,0.1,300,50,fast_griffin_lim,4.6183305,4.6183305,4.6184883,-3.1359382,0.07081853,2.854311
polyphonic_choir,16,2,0.0,100,50,griffin_lim,10.546159,10.546159,10.546305,-2.0282803,0.07081853,0.6815922
polyphonic_choir,16,2,0.0,100,50,fast_griffin_lim,10.546159,10.546159,10.546305,-2.0282803,0.07081853,0.6815922
polyphonic_choir,16,2,0.0,300,50,griffin_lim,10.565864,10.565864,10.56601,-2.0041,0.07081853,0.67857563
polyphonic_choir,16,2,0.0,300,50,fast_griffin_lim,10.565864,10.565864,10.56601,-2.0041,0.07081853,0.67857563
polyphonic_choir,16,2,0.1,100,50,griffin_lim,9.186903,9.186903,9.186849,5.295528,0.07081853,0.9316802
polyphonic_choir,16,2,0.1,100,50,fast_griffin_lim,9.186903,9.186903,9.186849,5.295528,0.07081853,0.9316802
polyphonic_choir,16,2,0.1,300,50,griffin_lim,9.194278,9.194278,9.194223,5.255954,0.07081853,0.93011653
polyphonic_choir,16,2,0.1,300,50,fast_griffin_lim,9.194278,9.194278,9.194223,5.255954,0.07081853,0.93011653
rainforest,2,0,0.0,100,50,griffin_lim,21.116577,21.116577,21.116611,-1.3217793,0.1633431,0.12078303
rainforest,2,0,0.0,100,50,fast_griffin_lim,21.116577,21.116577,21.116611,-1.3217793,0.1633431,0.12078303
rainforest,2,0,0.0,300,50,griffin_lim,21.116577,21.116577,21.116611,-1.3217793,0.1633431,0.12078303
rainforest,2,0,0.0,300,50,fast_griffin_lim,21.116577,21.116577,21.116611,-1.3217793,0.1633431,0.12078303
rainforest,2,0,0.1,100,50,griffin_lim,21.069061,21.069061,21.069122,-2.8617208,0.1633431,1.8960994
rainforest,2,0,0.1,100,50,fast_griffin_lim,21.069061,21.069061,21.069122,-2.8617208,0.1633431,1.8960994
rainforest,2,0,0.1,300,50,griffin_lim,21.069061,21.069061,21.069122,-2.8617208,0.1633431,1.8960994
rainforest,2,0,0.1,300,50,fast_griffin_lim,21.069061,21.069061,21.069122,-2.8617208,0.1633431,1.8960994
rainforest,2,1,0.0,100,50,griffin_lim,21.116577,21.116577,21.116611,-1.3217793,0.1633431,0.12078303
rainforest,2,1,0.0,100,50,fast_griffin_lim,21.116577,21.116577,21.116611,-1.3217793,0.1633431,0.12078303
rainforest,2,1,0.0,300,50,griffin_lim,21.116577,21.116577,21.116611,-1.3217793,0.1633431,0.12078303
rainforest,2,1,0.0,300,50,fast_griffin_lim,21.116577,21.116577,21.116611,-1.3217793,0.1633431,0.12078303
rainforest,2,1,0.1,100,50,griffin_lim,21.069061,21.069061,21.069122,-2.8617208,0.1633431,1.8960994
rainforest,2,1,0.1,100,50,fast_griffin_lim,21.069061,21.069061,21.069122,-2.8617208,0.1633431,1.8960994
rainforest,2,1,0.1,300,50,griffin_lim,21.069061,21.069061,21.069122,-2.8617208,0.1633431,1.8960994
